Kudos Date,Kudos Type,Parent ID
"Jun 15, 2014, 11:13:53 PM",Activity,153986704
"Jun 15, 2014, 11:13:54 PM",Activity,153982228
"Jun 15, 2014, 11:13:56 PM",Activity,153988394
"Jun 15, 2014, 11:14:02 PM",Activity,153866710
"Jun 15, 2014, 11:14:03 PM",Activity,153885708
"Jun 16, 2014, 5:51:11 PM",Activity,154242434
"Jun 17, 2014, 9:42:24 PM",Activity,154755960
"Jun 20, 2014, 8:00:18 PM",Activity,155841745
"Jun 20, 2014, 8:00:20 PM",Activity,155830463
"Jun 21, 2014, 3:47:17 AM",Activity,156014656
"Jun 21, 2014, 4:48:06 PM",Activity,156237838
"Jun 22, 2014, 9:39:21 PM",Activity,156908925
"Jun 22, 2014, 9:39:23 PM",Activity,156882085
"Jun 22, 2014, 9:39:25 PM",Activity,156805521
"Jun 22, 2014, 9:39:27 PM",Activity,156850974
"Jun 22, 2014, 10:48:48 PM",Activity,156903660
"Jun 23, 2014, 4:43:36 PM",Activity,157156329
"Jun 24, 2014, 2:46:48 AM",Activity,157386279
"Jun 27, 2014, 5:04:27 AM",Activity,158617613
"Jun 29, 2014, 12:35:33 AM",Activity,159268861
"Jun 30, 2014, 2:04:18 AM",Activity,159787978
"Jun 30, 2014, 2:08:43 PM",Activity,159899005
"Jun 30, 2014, 2:08:54 PM",Feed Entry,6901153
"Jun 30, 2014, 2:08:57 PM",Feed Entry,6901444
"Jul 2, 2014, 4:23:53 AM",Activity,160577268
"Jul 2, 2014, 5:56:16 PM",Activity,160825466
"Jul 3, 2014, 9:16:46 PM",Activity,161301119
"Jul 3, 2014, 9:16:47 PM",Activity,161304023
"Jul 6, 2014, 2:42:57 AM",Activity,162168040
"Jul 6, 2014, 4:07:33 AM",Activity,162214005
"Jul 6, 2014, 5:40:55 PM",Activity,162459061
"Jul 6, 2014, 7:25:19 PM",Activity,162012562
"Jul 6, 2014, 10:16:11 PM",Activity,162599579
"Jul 7, 2014, 4:13:37 AM",Activity,162696173
"Jul 7, 2014, 2:18:14 PM",Activity,162694840
"Jul 8, 2014, 4:36:29 AM",Activity,163113655
"Jul 9, 2014, 2:43:25 AM",Activity,163463168
"Jul 10, 2014, 3:05:08 PM",Activity,163869835
"Jul 11, 2014, 2:00:57 AM",Activity,164316692
"Jul 11, 2014, 2:00:58 AM",Activity,164325205
"Jul 11, 2014, 2:05:09 AM",Activity,164276615
"Jul 11, 2014, 8:09:23 PM",Activity,164541709
"Jul 11, 2014, 10:34:35 PM",Activity,164633362
"Jul 12, 2014, 6:18:49 PM",Activity,164997071
"Jul 12, 2014, 6:28:00 PM",Activity,165006755
