Enabled Application Name
Strava Cycling iPhone Application
Strava Cycling Android Application
Wahoo Fitness
VeloViewer
Wahoo Fitness
TrainerRoad
Wahoo Fitness for Android
HealthFit
Zwift
FulGaz
Strava Labs
Stryd
Garmin Connect
Toolbox by Marcello Brivio
Skuga
WattsBoard
Wahoo SYSTM
Tableau Software
S Health
Xert
Hammerhead
myWindsock.com
Hammerhead
Today's Plan
Connect IQ Routes Export
Wandrer
Cartorion
PowerDot
Samsung Galaxy Watch
Slopes
Le Col
RL
Withings
WHOOP
