Join Date,Name,Completed
"Jun 25, 2020, 3:20:55 PM",Jumbo Foodcoach Challenge,true
"Jun 26, 2020, 1:41:55 AM",July 5K,false
"Jun 26, 2020, 1:42:01 AM",July 10K,false
"Jun 26, 2020, 1:42:04 AM",July Gran Fondo,false
"Jun 26, 2020, 5:26:39 PM",July Run Climbing Challenge,false
"Jun 28, 2020, 8:34:54 PM",FuturumShop 21km Challenge,false
"Jun 28, 2020, 8:35:11 PM",Team ŠKODA We Love Cycling 2020,true
"Jul 13, 2020, 2:42:37 AM",PowerDot Grand Tour,true
"Jul 14, 2020, 1:28:45 AM",Mercedes-Benz 2020 GIVE `N RACE Virtual Run,false
"Jul 19, 2020, 12:00:23 AM",Amp Human Love Your Trail Challenge,true
"Jul 19, 2020, 12:00:49 AM",ROKA Tour de DIY,true
"Jul 19, 2020, 12:01:07 AM",Trek Century Challenge,true
"Jul 20, 2020, 2:55:17 AM",July Cycling Challenge,false
"Jul 20, 2020, 10:01:58 PM",Le Col Flat Out For 5,true
"Jul 20, 2020, 10:02:03 PM",SHIMANO Grand Tour,true
"Jul 27, 2020, 6:53:41 PM",Kyoku Recover to Improve,true
"Jul 28, 2020, 4:27:51 PM",August Gran Fondo,false
"Jul 28, 2020, 4:28:02 PM",August Cycling Endurance Challenge,false
"Jul 28, 2020, 4:28:07 PM",August Cycling Challenge,false
"Jul 30, 2020, 4:56:59 AM",August Cycling Distance Challenge,false
"Jul 30, 2020, 4:57:02 AM",August Cycling Climbing Challenge,false
"Jul 30, 2020, 4:57:20 AM",Arc’teryx Familiar Ground,false
"Aug 3, 2020, 2:26:20 PM",The evo 100,true
"Aug 4, 2020, 12:50:13 AM",ROKA Turnaround 200,true
"Aug 4, 2020, 6:02:07 PM",August 5K,false
"Aug 25, 2020, 1:06:04 AM",ROKA Le Défi 100: The Sequel,true
"Aug 25, 2020, 1:44:15 PM",The Cookie 100,true
"Aug 25, 2020, 11:34:10 PM",September Cycling Challenge,false
"Aug 25, 2020, 11:34:13 PM",September Gran Fondo,true
"Aug 25, 2020, 11:34:15 PM",September 5K,false
"Aug 25, 2020, 11:34:40 PM",September Cycling Climbing Challenge,false
"Aug 28, 2020, 8:49:56 PM",#everydayriding AGU Challenge,true
"Aug 29, 2020, 12:02:00 AM",Isadore’s Not This Century Challenge,true
"Sep 18, 2020, 5:01:22 AM",CLIF BAR® Epiphany Ride Challenge,true
"Sep 27, 2020, 12:59:01 PM",October Gran Fondo,true
"Sep 27, 2020, 8:46:57 PM",Le Col Giro Challenge,true
"Sep 27, 2020, 8:47:09 PM",October Cycling Climbing Challenge,false
"Sep 27, 2020, 8:47:25 PM",Ride for Challenged Athletes Foundation,true
"Sep 27, 2020, 8:47:51 PM",October Cycling Challenge,false
"Sep 27, 2020, 8:47:54 PM",October Run Climbing Challenge,false
"Sep 28, 2020, 1:31:51 AM",dhb Beat The Chill,true
"Sep 28, 2020, 1:32:01 AM",66ºNorth Iceland Challenge,true
"Oct 4, 2020, 1:03:02 AM","Krombacher o,0% Giro Challenge",true
"Oct 5, 2020, 4:43:05 PM",ROKA Transform 200,true
"Oct 12, 2020, 5:23:01 AM",Castelli Paris-Roubaix Challenge,false
"Oct 24, 2020, 8:20:15 PM",The Nuun 10-10-2020 Challenge,false
"Oct 24, 2020, 8:20:35 PM",Velocio: A Better Way Every Day,false
"Oct 29, 2020, 3:22:49 AM",November Gran Fondo,true
"Oct 30, 2020, 2:34:28 AM",The ROKA N+1 Challenge,true
"Nov 6, 2020, 4:28:47 AM",Move in Merino by Woolmark,true
"Nov 6, 2020, 4:29:45 AM",November Cycling Challenge,false
"Nov 12, 2020, 11:31:57 PM",Continental BlackChili Challenge,true
"Nov 13, 2020, 12:22:07 AM",Le Col Rise Above Winter Challenge,true
"Nov 17, 2020, 12:32:23 AM",Challenge the weather with 66ºNorth,true
"Nov 26, 2020, 3:37:20 AM",December Gran Fondo,true
"Nov 26, 2020, 3:37:28 AM",December Cycling Challenge,false
"Nov 26, 2020, 7:26:53 PM",November 5K,true
"Nov 27, 2020, 12:34:36 AM","fizik ride now, shop later",false
"Dec 8, 2020, 6:29:35 AM",Le Col Tick Off 2020 Challenge,true
"Dec 14, 2020, 6:30:25 PM",ROKA Hindsight 20/20 Challenge,true
"Dec 23, 2020, 1:15:26 AM",Sweaty Betty New Year 90,true
"Dec 23, 2020, 1:15:40 AM",Supersapiens—New Year's Challenge,false
