Bike Name,Bike Brand,Bike Model
Big Boss Hoss,,
Caadie,Cannondale,CAAD10
Dirty McDirtBag,Marin,Headlands
Hillius Maximus,Giant,TCR
Hurt Enforcer,Cannondale,Slate
Purdie Little Thang,,
Red Barron,,
The Sound,,
TIE Fighter,Storck ,scenero G2
