Bike Name,Component Type,Component Brand,Component Model
Caadie,Frame,Cannondale,CAAD10
Dirty McDirtBag,Frame,Marin,Headlands
Hillius Maximus,Frame,Giant,TCR
Hurt Enforcer,Frame,Cannondale,Slate
TIE Fighter,Frame,Storck ,scenero G2
