Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>"
11732903,"Jun 24, 2012, 1:10:53 AM","06/23/2012 Manhattan, NY",Ride,"",3121,12.59,,,false,Red Barron,activities/13563297.gpx.gz,65.7708969116211,12.246999740600586,3121.0,2967.0,12594.2998046875,18.440500259399414,,34.335899353027344,,-0.19058600068092346,24.107799530029297,43.744300842285156,0.0872562974691391,,,,,,,,52.18429946899414,172.63636779785156,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,232108.0,,,,,,,,,,,,,,,
11982157,"Jun 27, 2012, 9:44:45 PM","06/27/2012 New York, NY",Ride,"",3261,16.29,,,false,Red Barron,activities/13839235.gpx.gz,65.7708969116211,12.246999740600586,3261.0,3155.0,16297.2998046875,11.279800415039062,,39.067501068115234,,0.0,53.30910110473633,47.14889907836914,-0.30618301033973694,,,,,,,,64.53790283203125,227.0330352783203,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,232108.0,,,,,,,,,,,,,,,
11982207,"Jun 28, 2012, 2:39:44 AM","06/27/2012 Queens, NY",Ride,"",3916,17.56,,,false,Red Barron,activities/13839290.gpx.gz,65.7708969116211,12.246999740600586,3916.0,3754.0,17566.5,13.531999588012695,,92.68199920654297,,0.0,61.55509948730469,52.93080139160156,0.1256919950246811,,,,,,,,68.24330139160156,285.64666748046875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,232108.0,,,,,,,,,,,,,,,
12251971,"Jul 1, 2012, 11:06:24 PM","07/01/2012 Roosevelt Isl, NY",Ride,"",6089,18.98,,,false,Red Barron,activities/14159359.gpx.gz,65.7708969116211,12.246999740600586,6089.0,5263.0,18980.5,9.275850296020508,,96.81790161132812,,-0.16472600400447845,61.5713005065918,106.71800231933594,0.11697600036859512,,,,,,,,43.207298278808594,253.551025390625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,232108.0,,,,,,,,,,,,,,,
12252019,"Jul 1, 2012, 5:34:25 PM","07/01/2012 New York, NY",Ride,"",5059,17.42,,,false,Red Barron,activities/14159413.gpx.gz,65.7708969116211,12.246999740600586,5059.0,4756.0,17419.80078125,23.38599967956543,,56.29010009765625,,0.0,61.43239974975586,97.16449737548828,-0.12912200391292572,,,,,,,,38.53419876098633,204.34454345703125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,232108.0,,,,,,,,,,,,,,,
12252081,"Jun 30, 2012, 4:20:42 PM","06/30/2012 New York, NY",Ride,"",10326,17.00,,,false,Red Barron,activities/14159477.gpx.gz,65.7708969116211,12.246999740600586,10326.0,5099.0,17003.69921875,7.590779781341553,,105.38899993896484,,0.0,56.87929916381836,32.45600128173828,0.07581669837236404,,,,,,,,42.05009841918945,239.07101440429688,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,232108.0,,,,,,,,,,,,,,,
14097249,"Jul 21, 2012, 2:05:17 PM","07/21/2012 New York, NY",Ride,"",14666,79.16,,,false,Red Barron,activities/16261649.gpx.gz,65.7708969116211,12.246999740600586,14666.0,13920.0,79160.1015625,13.639200210571289,,602.5180053710938,,0.0,191.0709991455078,67.22570037841797,0.17027099430561066,,,,,,,,106.72599792480469,1656.472900390625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,232108.0,,,,,,,,,,,,,,,
17996827,"Aug 7, 2012, 12:24:57 AM","08/06/2012 New York, NY",Ride,"",549,2.06,,,true,Red Barron,activities/20610787.fit.gz,65.7708969116211,12.246999740600586,549.0,503.0,2060.969970703125,9.814000129699707,,10.399999618530273,,13.600000381469727,49.79999923706055,17.11840057373047,-1.2518399953842163,,,,,,,,43.259498596191406,24.26187515258789,,28.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,232108.0,,,,,,,,,,,,,,,
17996847,"Aug 11, 2012, 6:42:28 PM","08/11/2012 New York, NY",Ride,"",19079,48.68,,,false,Caadie,activities/20610789.fit.gz,70.30680084228516,8.164660453796387,19079.0,9545.0,48683.5,13.604000091552734,,234.10499572753906,,-0.1920350044965744,61.50019836425781,88.88890075683594,-0.030086100101470947,,,,,,,,77.60420227050781,825.916259765625,,31.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,326351.0,,,,,,,,,,,,,,,
17997483,"Jul 25, 2012, 10:50:50 PM","07/25/2012 New York, NY",Ride,"",13968,57.69,,,false,Caadie,activities/20611441.gpx.gz,65.7708969116211,8.164660453796387,13968.0,10198.0,57694.3984375,20.52429962158203,,159.04100036621094,,-0.05943150073289871,64.82579803466797,56.820098876953125,-0.03298189863562584,,,,,,,,82.13980102539062,933.9927978515625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,326351.0,,,,,,,,,,,,,,,
17997553,"Jul 30, 2012, 11:50:28 PM","07/30/2012 New York, NY",Ride,"",6999,34.40,,,false,Caadie,activities/20611511.gpx.gz,65.7708969116211,8.164660453796387,6999.0,6334.0,34404.6015625,12.96679973602295,,189.53399658203125,,6.293610095977783,61.49209976196289,62.842201232910156,-0.10552500188350677,,,,,,,,88.38249969482422,624.1934814453125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,326351.0,,,,,,,,,,,,,,,
17997649,"Aug 2, 2012, 10:53:38 PM","08/02/2012 New York, NY",Ride,"",19595,51.39,,,false,Caadie,activities/20611613.gpx.gz,65.7708969116211,8.164660453796387,19595.0,9877.0,51398.8984375,14.715299606323242,,209.92799377441406,,-0.239315003156662,65.05439758300781,33.78459930419922,0.0007764080073684454,,,,,,,,74.1552963256836,816.6615600585938,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,326351.0,,,,,,,,,,,,,,,
17997703,"Aug 4, 2012, 9:31:43 PM","08/04/2012 New York, NY",Ride,"",3688,24.55,,,false,Caadie,activities/20611675.gpx.gz,65.7708969116211,8.164660453796387,3688.0,3668.0,24551.099609375,12.05090045928955,,49.94409942626953,,-0.048804301768541336,65.5907974243164,23.94070053100586,-0.09337220340967178,,,,,,,,97.62979888916016,399.2882995605469,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,326351.0,,,,,,,,,,,,,,,
17997731,"Aug 5, 2012, 5:24:31 PM","08/05/2012 New York, NY",Ride,"",10602,31.97,,,false,Caadie,activities/20611699.gpx.gz,65.7708969116211,8.164660453796387,10602.0,8135.0,31974.5,14.547200202941895,,133.34100341796875,,0.0009552250267006457,65.25800323486328,39.64339828491211,0.05466780066490173,,,,,,,,49.60089874267578,449.90618896484375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,326351.0,,,,,,,,,,,,,,,
18419677,"Aug 13, 2012, 11:14:36 PM","08/13/2012 New York, NY",Ride,"",10053,39.10,182.0,81,false,Caadie,activities/21083347.fit.gz,65.7708969116211,8.164660453796387,10053.0,8178.0,39108.6015625,16.31999969482422,,355.0,,14.600000381469727,95.80000305175781,552.6320190429688,0.0690385028719902,,,161.0,65.44920349121094,182.0,133.5679931640625,,71.00039672851562,647.4150390625,,27.0,81.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,326351.0,,,,,,,,,,,,,,,
18982405,"Aug 18, 2012, 7:36:22 PM",Ride to Palissades,Ride,"",22058,51.82,172.0,57,false,Caadie,activities/21654399.fit.gz,65.7708969116211,8.164660453796387,22058.0,12494.0,51821.5,15.954000473022461,,445.4100036621094,,7.399449825286865,166.34100341796875,142.85699462890625,0.032794300466775894,,,164.0,49.227699279785156,172.0,108.35099792480469,,56.21310043334961,783.093994140625,,25.0,57.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,326351.0,,,,,,,,,,,,,,,
19108373,"Aug 19, 2012, 9:45:44 PM","08/19/2012 New York, NY",Ride,"",20009,60.16,,,false,Caadie,activities/21792742.fit.gz,65.7708969116211,8.164660453796387,20009.0,11898.0,60160.0,11.696700096130371,,272.5669860839844,,0.0,78.93350219726562,118.79000091552734,-0.01222699973732233,,,110.0,64.07949829101562,,,,64.814697265625,859.8493041992188,,24.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,326351.0,,,,,,,,,,,,,,,
