Following Athlete ID,Follow Status,Created At
304420,Accepted,"May 14, 2021, 5:11:23 AM"
272065,Accepted,"May 21, 2021, 5:57:37 AM"
23835829,Accepted,"May 28, 2021, 5:07:56 AM"
3222096,Accepted,"May 28, 2021, 5:08:07 AM"
177555,Accepted,"May 28, 2021, 5:10:57 AM"
1196475,Accepted,"May 28, 2021, 5:24:17 PM"
54141739,Accepted,"May 28, 2021, 5:54:56 PM"
51680654,Accepted,"Jun 4, 2021, 3:59:35 PM"
6316874,Accepted,"Jun 4, 2021, 4:18:01 PM"
60520486,Accepted,"Jun 14, 2021, 5:51:59 AM"
170983,Accepted,"Jul 10, 2021, 1:57:43 AM"
13931841,Accepted,"Jul 10, 2021, 2:35:52 AM"
31417738,Accepted,"Jul 10, 2021, 3:24:43 AM"
1765879,Accepted,"Jul 10, 2021, 3:24:46 AM"
48704606,Accepted,"Jul 10, 2021, 6:23:02 AM"
11749160,Accepted,"Jul 17, 2021, 12:42:39 AM"
2119362,Accepted,"Jul 17, 2021, 10:31:11 PM"
2665,Accepted,"Aug 7, 2021, 2:32:45 AM"
797300,Accepted,"Aug 7, 2021, 2:34:01 AM"
7973557,Accepted,"Aug 7, 2021, 5:21:02 AM"
18803690,Accepted,"Aug 7, 2021, 8:28:01 AM"
57981633,Accepted,"Aug 13, 2021, 7:10:35 AM"
5116026,Accepted,"Aug 15, 2021, 11:24:09 PM"
47372765,Accepted,"Aug 18, 2021, 12:59:01 AM"
9603201,Accepted,"Aug 21, 2021, 8:33:14 PM"
7025,Accepted,"Sep 13, 2021, 1:53:46 AM"
159124,Accepted,"Oct 3, 2021, 5:14:23 AM"
